# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Άγνωστο σφάλμα.
Failed activating all selected data retention policies. Data retention policies which failed activation are still selected. Please try again.,Αποτυχία ενεργοποίησης όλων των επιλεγμένων πολιτικών διατήρησης δεδομένων. Οι πολιτικές διατήρησης δεδομένων που απέτυχαν στην ενεργοποίηση παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Required data retention policies inactivated with success.,Οι απαιτούμενες πολιτικές διατήρησης δεδομένων απενεργοποιήθηκαν με επιτυχία.
Inactivating selected data retention policies failed. Please try again.,Η απενεργοποίηση επιλεγμένων πολιτικών διατήρησης δεδομένων απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed inactivating all selected data retention policies. Data retention policies which failed inactivation are still selected. Please try again.,Αποτυχία απενεργοποίησης όλων των επιλεγμένων πολιτικών διατήρησης δεδομένων. Οι πολιτικές διατήρησης δεδομένων που απέτυχαν στην απενεργοποίηση παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Required data retention policies deleted with success.,Οι απαιτούμενες πολιτικές διατήρησης δεδομένων διαγράφηκαν με επιτυχία.
Deleting selected data retention policies failed. Please try again.,Η διαγραφή των επιλεγμένων πολιτικών διατήρησης δεδομένων απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected data retention policies. Data retention policies which failed deletion are still selected. Please try again.,Αποτυχία διαγραφής όλων των επιλεγμένων πολιτικών διατήρησης δεδομένων. Οι πολιτικές διατήρησης δεδομένων που απέτυχαν στη διαγραφή παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Data retention policy activated with success.,Η πολιτική διατήρησης δεδομένων ενεργοποιήθηκε με επιτυχία.
Activating data retention policy failed. Please try again.,Απέτυχε η ενεργοποίηση της πολιτικής διατήρησης δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Cannot activate data retention policy. Data retention policy not found.,Αδυναμία ενεργοποίησης πολιτικής διατήρησης δεδομένων. Η πολιτική διατήρησης δεδομένων δεν βρέθηκε.
Data retention policy inactivated with success.,Η πολιτική διατήρησης δεδομένων απενεργοποιήθηκε με επιτυχία.
Inactivating data retention policy failed. Please try again.,Απέτυχε η απενεργοποίηση της πολιτικής διατήρησης δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Cannot inactivate data retention policy. Data retention policy not found.,Αδυναμία απενεργοποίησης πολιτικής διατήρησης δεδομένων. Δεν βρέθηκε η πολιτική διατήρησης δεδομένων.
Data retention policy deleted with success.,Η πολιτική διατήρησης δεδομένων διαγράφηκε με επιτυχία.
Deleting data retention policy failed. Please try again.,Αποτυχία διαγραφής πολιτικής διατήρησης δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Cannot delete data retention policy. Data retention policy not found.,Αδυναμία διαγραφής πολιτικής διατήρησης δεδομένων. Δεν βρέθηκε η πολιτική διατήρησης δεδομένων.
Edit data retention policy,Επεξεργασία πολιτικής διατήρησης δεδομένων
Activate data retention policy,Ενεργοποίηση πολιτικής διατήρησης δεδομένων
Inactivate data retention policy,Απενεργοποίηση πολιτικής διατήρησης δεδομένων
Run data retention policy,Εκτέλεση πολιτικής διατήρησης δεδομένων
Delete data retention policy,Διαγραφή πολιτικής διατήρησης δεδομένων
Are you sure you want to activate this data retention policy?,Είστε σίγουροι ότι θέλετε να ενεργοποιήσετε αυτήν την πολιτική διατήρησης δεδομένων;
Are you sure you want to inactivate this data retention policy?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε αυτήν την πολιτική διατήρησης δεδομένων;
Are you sure you want to run this data retention policy?,Είστε σίγουροι ότι θέλετε να εκτελέσετε αυτήν την πολιτική διατήρησης δεδομένων;
Are you sure you want to DELETE this data retention policy?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ αυτήν την πολιτική διατήρησης δεδομένων;
Please select data retention policies you want to activate first.,Παρακαλώ επιλέξτε πρώτα τις πολιτικές διατήρησης δεδομένων που θέλετε να ενεργοποιήσετε.
Are you sure you want to activate %s data retention policies?,Είστε σίγουροι ότι θέλετε να ενεργοποιήσετε τις πολιτικές διατήρησης δεδομένων %s;
Please select data retention policies you want to inactivate first.,Παρακαλώ επιλέξτε πολιτικές διατήρησης δεδομένων που θέλετε να απενεργοποιήσετε πρώτα.
Are you sure you want to inactivate %s data retention policies?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε τις πολιτικές διατήρησης δεδομένων του %s;
Please select data retention policies you want to run first.,Παρακαλώ επιλέξτε πολιτικές διατήρησης δεδομένων που θέλετε να εκτελέσετε πρώτα.
Are you sure you want to run %s data retention policies?,Είστε σίγουροι ότι θέλετε να εκτελέσετε τις πολιτικές διατήρησης δεδομένων %s;
Please select data retention policies you want to delete first.,Παρακαλώ επιλέξτε πολιτικές διατήρησης δεδομένων που θέλετε να διαγράψετε πρώτα.
Are you sure you want to DELETE %s data retention policies?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ τις πολιτικές διατήρησης δεδομένων %s;
Data retention details not provided.,Λεπτομέρειες διατήρησης δεδομένων δεν παρέχονται.
Import Users,Εισαγωγή Χρηστών
"Import finished. %s accounts in import file, %s accounts processed, %s new accounts (%s inserted in database), %s updated accounts, %s errors.","Η εισαγωγή ολοκληρώθηκε. %s λογαριασμοί στο αρχείο εισαγωγής, %s λογαριασμοί επεξεργάστηκαν, %s νέοι λογαριασμοί (%s εισήχθησαν στη βάση δεδομένων), %s ενημερωμένοι λογαριασμοί, %s σφάλματα."
For more details check import log file.,Για περισσότερες λεπτομέρειες ελέγξτε το αρχείο καταγραφής εισαγωγής.
Error uploading accounts import file: %s,Σφάλμα κατά τη μεταφόρτωση του αρχείου εισαγωγής λογαριασμών: %s
Error processing import: %s,Σφάλμα κατά την επεξεργασία εισαγωγής: %s
Import finished...,Η εισαγωγή ολοκληρώθηκε...
Add User,Προσθήκη Χρήστη
User account created...,Δημιουργήθηκε λογαριασμός χρήστη...
Edit User,Επεξεργασία Χρήστη
Invalid account...,Μη έγκυρος λογαριασμός...
Account details saved in database.,Λεπτομέρειες λογαριασμού αποθηκεύτηκαν στη βάση δεδομένων.
Password fields don't match.,Τα πεδία κωδικού πρόσβασης δεν ταιριάζουν.
Account details,Λεπτομέρειες λογαριασμού
List Users,Λίστα Χρηστών
User account created.,Ο λογαριασμός χρήστη δημιουργήθηκε.
You don't have enough rights to edit the account.,Δεν έχετε αρκετά δικαιώματα για να επεξεργαστείτε τον λογαριασμό.
user,χρήστης
users,χρήστες
Reset account locking,Επαναφορά κλειδώματος λογαριασμού
Export selected,Εξαγωγή επιλεγμένων
Export ALL accounts,Εξαγωγή ΟΛΩΝ των λογαριασμών
Has login attempts,Έχει προσπάθειες σύνδεσης
IS or WAS locked,ΚΛΕΙΣΤΟ ή ΗΤΑΝ κλειδωμένο
IS locked,ΕΙΝΑΙ κλειδωμένο
IDs,Αναγνωριστικά
Comma separated ids,Ταυτότητες χωρισμένες με κόμμα
"eg. 1,2,3","π.χ. 1,2,3"
Nickname,Ψευδώνυμο
Account lockout,Κλείδωμα λογαριασμού
Select only accounts with specific account lockout conditions,Επιλέξτε μόνο λογαριασμούς με συγκεκριμένες συνθήκες κλειδώματος λογαριασμού
Level,Επίπεδο
Tenants,Ενοικιαστές
Locked?,Κλειδωμένο;
Last Login,Τελευταία Σύνδεση
Never,Ποτέ
Reseted account locking for required accounts with success.,Επαναφορά κλειδώματος λογαριασμού για τους απαιτούμενους λογαριασμούς με επιτυχία.
Resetting account locking for selected accounts failed. Please try again.,Αποτυχία επαναφοράς κλειδώματος λογαριασμού για τους επιλεγμένους λογαριασμούς. Παρακαλώ προσπαθήστε ξανά.
Failed resetting account locking for all selected accounts. Accounts for which action failed are still selected. Please try again.,Αποτυχία επαναφοράς κλειδώματος λογαριασμού για όλους τους επιλεγμένους λογαριασμούς. Οι λογαριασμοί για τους οποίους απέτυχε η ενέργεια παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required accounts activated with success.,Απαιτούμενοι λογαριασμοί ενεργοποιήθηκαν με επιτυχία.
Activating selected accounts failed. Please try again.,Η ενεργοποίηση των επιλεγμένων λογαριασμών απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed activating all selected accounts. Accounts which failed activation are still selected. Please try again.,Αποτυχία ενεργοποίησης όλων των επιλεγμένων λογαριασμών. Οι λογαριασμοί που απέτυχαν στην ενεργοποίηση παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required accounts inactivated with success.,Τα απαιτούμενα λογαριασμοί απενεργοποιήθηκαν με επιτυχία.
Inactivating selected accounts failed. Please try again.,Αποτυχία απενεργοποίησης επιλεγμένων λογαριασμών. Παρακαλώ προσπαθήστε ξανά.
Failed inactivating all selected accounts. Accounts which failed inactivation are still selected. Please try again.,Αποτυχία απενεργοποίησης όλων των επιλεγμένων λογαριασμών. Οι λογαριασμοί που απέτυχαν στην απενεργοποίηση παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required accounts deleted with success.,Τα απαιτούμενα λογαριασμοί διαγράφηκαν με επιτυχία.
Deleting selected accounts failed. Please try again.,Η διαγραφή των επιλεγμένων λογαριασμών απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected accounts. Accounts which failed deletion are still selected. Please try again.,Απέτυχε η διαγραφή όλων των επιλεγμένων λογαριασμών. Οι λογαριασμοί που απέτυχαν τη διαγραφή παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required accounts exported with success.,Τα απαιτούμενα λογαριασμοί εξαχθήκαν με επιτυχία.
Exporting selected accounts failed. Please try again.,Απέτυχε η εξαγωγή των επιλεγμένων λογαριασμών. Παρακαλώ προσπαθήστε ξανά.
Failed exporting all selected accounts. Accounts which failed export are still selected. Please try again.,Απέτυχε η εξαγωγή όλων των επιλεγμένων λογαριασμών. Οι λογαριασμοί που απέτυχαν την εξαγωγή παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Logged in with success.,Συνδέθηκε με επιτυχία.
Logging in as this account failed. Please try again.,Η σύνδεση με αυτόν τον λογαριασμό απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot login as this account. Account not found.,Αδυναμία σύνδεσης με αυτόν τον λογαριασμό. Ο λογαριασμός δεν βρέθηκε.
Account not active. Activate account first.,Ο λογαριασμός δεν είναι ενεργός. Ενεργοποιήστε πρώτα τον λογαριασμό.
Account locking reset with success.,Επαναφορά κλειδώματος λογαριασμού με επιτυχία.
Resetting account locking failed. Please try again.,Αποτυχία επαναφοράς κλειδώματος λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Cannot reset account locking. Account not found.,Αδυναμία επαναφοράς κλειδώματος λογαριασμού. Ο λογαριασμός δεν βρέθηκε.
You don't have rights to manage this account.,Δεν έχετε δικαιώματα για τη διαχείριση αυτού του λογαριασμού.
Re-sent registration email with success.,Επαναστέλνονται το email εγγραφής με επιτυχία.
Re-sending registration email failed. Please try again.,Αποτυχία επανάληψης αποστολής email εγγραφής. Παρακαλώ προσπαθήστε ξανά.
You don't have rights to manage accounts.,Δεν έχετε δικαιώματα για τη διαχείριση λογαριασμών.
Cannot re-send registration email. Account not found.,Δεν είναι δυνατή η επανάληψη αποστολής email εγγραφής. Ο λογαριασμός δεν βρέθηκε.
Account activated with success.,Ο λογαριασμός ενεργοποιήθηκε με επιτυχία.
Activating account failed. Please try again.,Απέτυχε η ενεργοποίηση λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Cannot activate account. Account not found.,Αδυναμία ενεργοποίησης λογαριασμού. Ο λογαριασμός δεν βρέθηκε.
Account inactivated with success.,Ο λογαριασμός απενεργοποιήθηκε με επιτυχία.
Inactivating account failed. Please try again.,Αποτυχία απενεργοποίησης λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Cannot inactivate account. Account not found.,Αδυναμία απενεργοποίησης λογαριασμού. Ο λογαριασμός δεν βρέθηκε.
Account deleted with success.,Ο λογαριασμός διαγράφηκε με επιτυχία.
Deleting account failed. Please try again.,Αποτυχία διαγραφής λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Cannot delete account. Account not found.,Αδυναμία διαγραφής λογαριασμού. Ο λογαριασμός δεν βρέθηκε.
YES,ΝΑΙ
%s failures,%s αποτυχίες
Change login to this account,Αλλαγή σύνδεσης σε αυτόν τον λογαριασμό
Edit account,Επεξεργασία λογαριασμού
Re-send registration email,Επανάληψη αποστολής email εγγραφής
Activate account,Ενεργοποίηση λογαριασμού
Inactivate account,Απενεργοποίηση λογαριασμού
Delete account,Διαγραφή λογαριασμού
Are you sure you want to change login as this account?,Είστε σίγουροι ότι θέλετε να αλλάξετε τη σύνδεση ως αυτόν τον λογαριασμό;
Are you sure you want to reset account locking for this account?,Είστε σίγουροι ότι θέλετε να επαναφέρετε τον κλειδαριθμό λογαριασμού για αυτόν τον λογαριασμό;
Are you sure you want to re-send registration email for this account?,Είστε σίγουροι ότι θέλετε να ξαναστείλετε το email εγγραφής για αυτόν τον λογαριασμό;
Are you sure you want to activate this account?,Είστε σίγουροι ότι θέλετε να ενεργοποιήσετε αυτόν τον λογαριασμό;
Are you sure you want to inactivate this account?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε αυτόν τον λογαριασμό;
Are you sure you want to DELETE this account?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ αυτόν τον λογαριασμό;
Reading account details...,Ανάγνωση λεπτομερειών λογαριασμού...
Error reading account details. Please try again.,Σφάλμα κατά την ανάγνωση λεπτομερειών λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Please select accounts you want to activate first.,Παρακαλώ επιλέξτε τους λογαριασμούς που θέλετε να ενεργοποιήσετε πρώτα.
Are you sure you want to activate %s accounts?,Είστε σίγουροι ότι θέλετε να ενεργοποιήσετε %s λογαριασμούς;
Please select accounts you want to inactivate first.,Παρακαλώ επιλέξτε πρώτα τους λογαριασμούς που θέλετε να απενεργοποιήσετε.
Are you sure you want to inactivate %s accounts?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε τους λογαριασμούς %s;
Please select accounts you want to delete first.,Παρακαλώ επιλέξτε πρώτα τους λογαριασμούς που θέλετε να διαγράψετε.
Are you sure you want to DELETE %s accounts?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ %s λογαριασμούς;
Please select accounts you want to reset locking for first.,Παρακαλώ επιλέξτε πρώτα τους λογαριασμούς για τους οποίους θέλετε να επαναφέρετε το κλείδωμα.
Are you sure you want to reset locking for %s accounts?,Είστε σίγουροι ότι θέλετε να επαναφέρετε το κλείδωμα για %s λογαριασμούς;
Are you sure you want to export ALL accounts?,Είστε σίγουροι ότι θέλετε να εξάγετε ΟΛΟΥΣ τους λογαριασμούς;
HTTP Calls Requests,Κλήσεις HTTP Αιτημάτων
Invalid HTTP call...,Μη έγκυρη κλήση HTTP...
HTTP Calls,Κλήσεις HTTP
Invalid HTTP call or HTTP call not found in database.,Μη έγκυρη κλήση HTTP ή κλήση HTTP που δεν βρέθηκε στη βάση δεδομένων.
HTTP call,Κλήση HTTP
HTTP calls,Κλήσεις HTTP
URL,Διεύθυνση URL
All HTTP calls to provided URL,Όλες οι κλήσεις HTTP στην παρεχόμενη διεύθυνση URL
All HTTP calls done using this method,Όλες οι κλήσεις HTTP γίνονται χρησιμοποιώντας αυτήν τη μέθοδο
Handle,Χειριστείτε
All HTTP calls created using specified handle,Όλες οι κλήσεις HTTP δημιουργούνται χρησιμοποιώντας τον καθορισμένο χειριστή
Is final?,Είναι τελικό;
Select only final HTTP calls,Επιλέξτε μόνο τελικές κλήσεις HTTP
Final calls,Τελικές κλήσεις
NOT final calls,ΜΗΝ τελικές κλήσεις
All HTTP calls run after this date,Όλες οι κλήσεις HTTP τρέχουν μετά από αυτήν την ημερομηνία
Calls run after this date,Οι κλήσεις τρέχουν μετά από αυτήν την ημερομηνία
All HTTP calls run before this date,Όλες οι κλήσεις HTTP τρέχουν πριν από αυτήν την ημερομηνία
Calls run before this date,Οι κλήσεις τρέχουν πριν από αυτήν την ημερομηνία
Payload,Φορτίο
Runs,Εκτελέσεις
Is Final?,Είναι τελικό;
Pause,Παύση
Un-pause,Αναστολή-παύση
View Payload,Προβολή Φορτίου
Fails,Αποτυγχάνει
Max retries,Μέγιστες επαναλήψεις
View HTTP call requests,Προβολή αιτημάτων κλήσης HTTP
Run After,Εκτέλεση Μετά
RA,ΑΣ
Last Run,Τελευταία Εκτέλεση
LR,Γραμμική Ρύθμιση
Last HTTP Call Error,Τελευταίο Σφάλμα Κλήσης HTTP
Resume HTTP call,Επανέναρξη κλήσης HTTP
Pause HTTP call,Παύση κλήσης HTTP
Resend HTTP call,Επανάληψη κλήσης HTTP
View HTTP call settings,Προβολή ρυθμίσεων κλήσης HTTP
Delete HTTP call,Διαγραφή κλήσης HTTP
Payload updated with success.,Το φορτίο ενημερώθηκε με επιτυχία.
Error updating payload. Please try again.,Σφάλμα κατά την ενημέρωση του φορτίου δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Please provide a payload content.,Παρακαλώ παρέχετε περιεχόμενο φορτίου.
HTTP call not found in database.,Η κλήση HTTP δεν βρέθηκε στη βάση δεδομένων.
HTTP call running in a background job with success.,Κλήση HTTP που εκτελείται σε φόντο με επιτυχία.
Retrying HTTP call failed. Please try again.,Η επανάληψη της κλήσης HTTP απέτυχε. Παρακαλώ προσπαθήστε ξανά.
HTTP call paused with success.,Η κλήση HTTP διακόπηκε με επιτυχία.
Pausing HTTP call failed. Please try again.,Η παύση της κλήσης HTTP απέτυχε. Παρακαλώ προσπαθήστε ξανά.
HTTP call un-paused with success.,Κλήση HTTP ανασταλμένη με επιτυχία.
Un-pausing HTTP call failed. Please try again.,Η αναστολή της κλήσης HTTP απέτυχε. Παρακαλώ προσπαθήστε ξανά.
HTTP call deleted with success.,Η κλήση HTTP διαγράφηκε με επιτυχία.
Deleting HTTP call failed. Please try again.,Η διαγραφή της κλήσης HTTP απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Required HTTP calls paused with success.,Οι απαιτούμενες κλήσεις HTTP διακόπηκαν με επιτυχία.
Pausing selected HTTP calls failed. Please try again.,Η παύση επιλεγμένων κλήσεων HTTP απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed pausing all selected HTTP calls. HTTP calls which failed pausing are still selected. Please try again.,Αποτυχία παύσης όλων των επιλεγμένων κλήσεων HTTP. Οι κλήσεις HTTP που απέτυχαν να παγώσουν παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Required HTTP calls un-paused with success.,Απαιτούμενες κλήσεις HTTP αναστάθηκαν με επιτυχία.
Un-pausing selected HTTP calls failed. Please try again.,Η αναστολή των επιλεγμένων κλήσεων HTTP απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed un-pausing all selected HTTP calls. HTTP calls which failed un-pausing are still selected. Please try again.,Αποτυχία αναστολής όλων των επιλεγμένων κλήσεων HTTP. Οι κλήσεις HTTP που απέτυχαν να ανασταλούν παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Required HTTP calls deleted with success.,Απαιτούμενες κλήσεις HTTP διαγράφηκαν με επιτυχία.
Deleting selected HTTP calls failed. Please try again.,Η διαγραφή των επιλεγμένων κλήσεων HTTP απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected HTTP calls. HTTP calls which failed deletion are still selected. Please try again.,Απέτυχε η διαγραφή όλων των επιλεγμένων κλήσεων HTTP. Οι κλήσεις HTTP που απέτυχαν τη διαγραφή παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
HTTP Call Payload,Πληρωμή κλήσης HTTP
HTTP Call Settings,Ρυθμίσεις κλήσης HTTP
Please wait..,Παρακαλώ περιμένετε..
HTTP Call Requests,Αιτήσεις κλήσης HTTP
Edit payload,Επεξεργασία φορτίου
Language Files,Αρχεία Γλώσσας
Modified,Τροποποιημένο
POT File,Αρχείο POT
POT Files List,Λίστα αρχείων POT
Regenerate POT File,Αναγέννηση αρχείου POT
You can add directories which will be excluded when generating POT file...,Μπορείτε να προσθέσετε καταλόγους που θα εξαιρεθούν κατά τη δημιουργία του αρχείου POT...
Excluded directory,Αποκλεισμένος κατάλογος
Delete excluding path,Διαγραφή εξαιρουμένου του μονοπατιού
Add directory exception,Προσθήκη εξαίρεσης καταλόγου
Generate POT file,Δημιουργία αρχείου POT
Regenerate PO File,Αναγέννηση αρχείου PO
For language,Για γλώσσα
Select language,Επιλογή γλώσσας
Update PO file,Ενημέρωση αρχείου PO
Translate PO File,Μετάφραση αρχείου PO
Translate language,Μετάφραση γλώσσας
Translate PO file,Μετάφραση αρχείου PO
PO file,Αρχείο PO
Total translations,Συνολικές μεταφράσεις
Already translated,Ήδη μεταφρασμένο
AI Translation,Μετάφραση Τεχνητής Νοημοσύνης
No status for UI translation using AI for this file.,Δεν υπάρχει κατάσταση για τη μετάφραση του UI χρησιμοποιώντας την τεχνητή νοημοσύνη για αυτό το αρχείο.
Errors,Σφάλματα
Success,Επιτυχία
Last log,Τελευταία καταγραφή
Are you sure you want to remove this excluding path?,Είστε σίγουροι ότι θέλετε να αφαιρέσετε αυτήν την αποκλειστική διαδρομή;
File does not exist.,Το αρχείο δεν υπάρχει.
Obtaining details...,Λήψη λεπτομερειών...
Error obtaining PO file details. Please try again.,Σφάλμα κατά τη λήψη λεπτομερειών αρχείου PO. Παρακαλώ προσπαθήστε ξανά.
Displaying PO file info...,Εμφάνιση πληροφοριών αρχείου PO...
PO file info %s,Πληροφορίες αρχείου PO %s
Preparing download...,Προετοιμασία λήψης...
Error obtaining a download link. Please try again.,Σφάλμα κατά τη λήψη ενός συνδέσμου λήψης. Παρακαλώ προσπαθήστε ξανά.
Downloading file (%s bytes)...,Λήψη αρχείου (%s bytes)...
Generating POT file...,Δημιουργία αρχείου POT...
POT file generated with success.,Το αρχείο POT δημιουργήθηκε με επιτυχία.
Generating PO file...,Δημιουργία αρχείου PO...
PO file generated with success.,Το αρχείο PO δημιουργήθηκε με επιτυχία.
Are you sure you want to force stop the current translation task?,Είστε σίγουροι ότι θέλετε να εξαναγκάσετε τη διακοπή της τρέχουσας εργασίας μετάφρασης;
No running translation task found.,Δεν βρέθηκε εργασία μετάφρασης τρέξιμο.
Sending stop request...,Αποστολή αίτησης διακοπής...
Error sending stop request. Please try again.,Σφάλμα κατά την αποστολή αιτήματος διακοπής. Παρακαλώ προσπαθήστε ξανά.
Stop request sent to background task. Refresh PO file details to see the status.,Η αίτηση διακοπής στάλθηκε στη φόντο εργασία. Ανανεώστε τις λεπτομέρειες του αρχείου PO για να δείτε την κατάσταση.
Translating PO file...,Μετάφραση αρχείου PO...
PO translation task launched with success in background job.,Η εργασία μετάφρασης PO ξεκίνησε με επιτυχία σε φόντο εργασίας.
"You can check the progress by clicking the <i class=\""fa fa-info\""></i> icon for provided language.","Μπορείτε να ελέγξετε την πρόοδο κάνοντας κλικ στο εικονίδιο <i class=\""fa fa-info\""></i> για την παρεχόμενη γλώσσα."
Choose tenant,Επιλέξτε ενοικιαστή
"Current platform doesn't support multi-tenant setup. All changes will be done on a \""Default\"" tenant.","Η τρέχουσα πλατφόρμα δεν υποστηρίζει τη ρύθμιση πολλαπλών ενοικιαστών. Όλες οι αλλαγές θα πραγματοποιηθούν σε έναν ενοικιαστή με την ονομασία \""Προεπιλεγμένος\""."
Plugin name,Όνομα προσθέτου
Plugin status,Κατάσταση προσθέτου
No plugins selected with current filters.,Δεν έχουν επιλεγεί πρόσθετα με τα τρέχοντα φίλτρα.
Selected %s plugins...,Επιλέχθηκαν %s πρόσθετα...
There are selected plugins which are not visible!,Υπάρχουν επιλεγμένα πρόσθετα τα οποία δεν είναι ορατά!
ACTIVATE Selected,ΕΝΕΡΓΟΠΟΙΗΣΗ Επιλεγμένο
INACTIVATE Selected,ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ Επιλεγμένων
Registry data for plugin %s on tenant %s.,Δεδομένα μητρώου για το πρόσθετο %s στον ενοικιαστή %s.
Registry key,Κλειδί μητρώου
Registry value,Τιμή καταχώρισης
No registry data yet...,Δεν υπάρχουν ακόμα δεδομένα από το μητρώο...
Settings for plugin %s on tenant %s.,Ρυθμίσεις για το πρόσθετο %s στον ενοικιαστή %s.
Settings value,Τιμή ρυθμίσεων
No settings yet...,Δεν υπάρχουν ακόμα ρυθμίσεις...
"First, select pluins from the list.","Πρώτα, επιλέξτε πρόσθετα από τη λίστα."
Are you sure you want to ACTIVATE %s plugins for selected tenant?,Είστε σίγουροι ότι θέλετε να ΕΝΕΡΓΟΠΟΙΗΣΕΤΕ τα %s πρόσθετα για τον επιλεγμένο ενοικιαστή;
Refreshing the page...,Ανανέωση της σελίδας...
Are you sure you want to INACTIVATE %s plugins for selected tenant?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε τα %s πρόσθετα για τον επιλεγμένο ενοικιαστή;
"First, select plugins from the list.","Πρώτα, επιλέξτε πρόσθετα από τη λίστα."
Error obtaining form data. Please try again.,Σφάλμα κατά τη λήψη δεδομένων φόρμας. Παρακαλώ προσπαθήστε ξανά.
Please select plugin for which you want to see registry data.,Επιλέξτε το πρόσθετο για το οποίο θέλετε να δείτε τα δεδομένα του μητρώου.
Error obtaining plugin registry data. Please try again.,Σφάλμα κατά τη λήψη δεδομένων από το μητρώο προσθέτων. Παρακαλώ προσπαθήστε ξανά.
%s registry for %s tenant,%s καταχώριση για τον ενοικιαστή %s
Please select plugin for which you want to see settings.,Παρακαλώ επιλέξτε το πρόσθετο για το οποίο θέλετε να δείτε τις ρυθμίσεις.
Error obtaining plugin settings. Please try again.,Σφάλμα κατά τη λήψη των ρυθμίσεων του προσθέτου. Παρακαλώ προσπαθήστε ξανά.
%s settings for %s tenant,%s ρυθμίσεις για τον ενοικιαστή %s
Friendly tenant name,Φιλικό όνομα ενοικιαστή
A friendly name to identify the tenant. This will replace PHS_SITE_NAME constant.,Ένα φιλικό όνομα για την ταυτοποίηση του ενοικιαστή. Αυτό θα αντικαταστήσει τη σταθερά PHS_SITE_NAME.
What domain is used for this tenant (e.g. www.example.com),Ποιο τομέα χρησιμοποιείται για αυτόν τον ενοικιαστή (π.χ. www.example.com)
What directory (if any) is used for this tenant (e.g. appdir/),Ποιος κατάλογος (αν υπάρχει) χρησιμοποιείται για αυτόν τον ενοικιαστή (π.χ. appdir/)
External tenant identifier,Εξωτερικός αναγνωριστής ενοικιαστή
Used to identify the tenant from requests from outside.,Χρησιμοποιείται για την ταυτοποίηση του ενοικιαστή από αιτήσεις από το εξωτερικό.
Default tenant?,Προεπιλεγμένος ενοικιαστής;
"If no tenant can be selected from the request, use this tenant as default","Εάν δεν μπορεί να επιλεγεί κάποιος ενοικιαστής από το αίτημα, χρησιμοποιήστε αυτόν τον ενοικιαστή ως προεπιλογή"
Default Theme,Προεπιλεγμένο Θέμα
Current Theme,Τρέχον Θέμα
Themes Cascade,Θέματα Καταρράκτη
Move up,Μετακίνηση προς τα επάνω
Move down,Μετακίνηση προς τα κάτω
No theme selected yet.,Δεν έχει επιλεγεί ακόμα θέμα.
Add theme,Προσθήκη θέματος
System Logs,Καταγραφές Συστήματος
lines,γραμμές
View file,Προβολή αρχείου
