# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Eroare necunoscută.
Settings for plugin %s on tenant %s.,Setări pentru modulul %s pe chiriașul %s.
Settings value,Valoare setări
No settings yet...,Nici o setare încă...
"First, select pluins from the list.","Mai întâi, selectați modulele din listă."
Are you sure you want to ACTIVATE %s plugins for selected tenant?,Sunteți sigur că doriți să ACTIVAȚI %s modulele pentru chiriașul selectat?
Refreshing the page...,Reîmprospătarea paginii...
Are you sure you want to INACTIVATE %s plugins for selected tenant?,Sunteți sigur că doriți să DEZACTIVAȚI %s module pentru chiriașul selectat?
"First, select plugins from the list.","Mai întâi, selectați modulele din listă."
Error obtaining form data. Please try again.,Eroare la obținerea datelor formularului. Vă rugăm să încercați din nou.
Please select plugin for which you want to see registry data.,Vă rugăm să selectați modulul pentru care doriți să vizualizați datele din registrul.
Error obtaining plugin registry data. Please try again.,Eroare la obținerea datelor registrelor plugin-urilor. Vă rugăm să încercați din nou.
%s registry for %s tenant,Registrul %s pentru chiriașul %s
Please select plugin for which you want to see settings.,Va rugăm să selectați modulul pentru care doriți să vizualizați setările.
Error obtaining plugin settings. Please try again.,Eroare la obținerea setărilor modulului. Vă rugăm să încercați din nou.
%s settings for %s tenant,Setări %s pentru chiriașul %s
Friendly tenant name,Numele chiriașului prietenos
A friendly name to identify the tenant. This will replace PHS_SITE_NAME constant.,Un nume prietenos pentru a identifica chiriașul. Acesta va înlocui constanta PHS_SITE_NAME.
What domain is used for this tenant (e.g. www.example.com),Ce domeniu este folosit pentru acest chiriaș (de exemplu www.example.com)
What directory (if any) is used for this tenant (e.g. appdir/),Ce director (dacă există) este folosit pentru acest chiriaș (de exemplu appdir/)
External tenant identifier,Identificatorul extern al chiriașului
Used to identify the tenant from requests from outside.,Folosit pentru a identifica chiriașul din cererile de la exterior.
Default tenant?,Chiriaș implicit?
"If no tenant can be selected from the request, use this tenant as default","Dacă nu poate fi selectat niciun chiriaș din cerere, folosiți acest chiriaș ca implicit"
Default Theme,Tema predefinită
Current Theme,Tema curentă
Themes Cascade,Cascadă de teme
Move up,Deplasare în sus
Move down,Deplasare în jos
No theme selected yet.,Nu este selectată nici o temă încă.
Add theme,Adaugă temă
System Logs,Loguri Sistem
lines,linii
View file,Vezi fişier
Sending request to server... Please wait.,Trimitere date la server... Aşteptaţi.
Error sending request to server. Please retry.,Eroare la trimiterea cererii către server. Încercaţi din nou.
For tenant,Pentru chiriaș
- Default tenant -,- Chiriaș implicit -
Crypt key used when settings were exported,Cheia de criptare folosită când setările au fost exportate
Crypted Settings,Setări Criptate
Copy and paste the JSON string from the file obtained at plugin settings export,Copiați și lipiți șirul JSON din fișierul obținut la exportul setărilor plugin-ului
Validate Settings,Validați setările
Source Platform,Platforma Sursă
Source URL,URL sursă
Seems linke provided import JSON doesn't contain any settings to be imported.,Se pare că JSON-ul de import furnizat nu conține nicio setare de importat.
Try again,Încearcă din nou
Pick the settings you want to import from te table below.,Selectați setările pe care doriți să le importați din tabelul de mai jos.
"If you don't select any plugin, system will import all plugin settings presented in this table.","Dacă nu selectați niciun modul, sistemul va importa toate setările modulului prezentate în acest tabel."
In import file,În fișierul de import
In current platform,În platforma curentă
Plugin (in file),Modul (în fișier)
Only models with settings,Doar modele cu setări
Import Settings,Importare setări
Plugin settings imported with success.,Setările modulului au fost importate cu succes.
There were errors while importing plugin settings. Please try again.,Au apărut erori în timpul importării setărilor plugin-ului. Vă rugăm să încercați din nou.
Import information is also available in maintenance.log file.,Informațiile de import sunt de asemenea disponibile în fișierul maintenance.log.
Finish,Finalizare
This plugin is not a multi-tenant plugin! Settings will be same for all tenants.,Acest modul nu este un modul multi-locatar! Setările vor fi aceleași pentru toți locatarii.
Select tenant,Selectați chiriașul
- Default settings -,- Setări Predefinite -
Select plugin or a model,Selectați un modul sau un model
Database version,Versiune bază de date
Script version,Versiune script
Please upgrade the plugin,Updataţi pluginul
"For selected tenant, current plugin status is %s.","Pentru chiriașul selectat, starea curentă a modulului este %s."
Manage plugins for this tenant,Gestionați modulele pentru acest chiriaș
Selected module doesn't have any settings.,Modulul selectat nu are niciun setări.
Save settings,Salvare setări
Are you sure you want to cancel changes in plugin settings?,Sunteți sigur că doriți să anulați modificările în setările modulului?
[Non-editable],[Non-editabil]
Use custom tenant value,Utilizați valoarea personalizată a chiriașului
Main settings value,Valoare setare principală
Empty string value,Valoare string gol
Default value,Valoare predefinită
Render settings field call failed.,Apelul câmpului de setări de redare a eșuat.
Not a key-value array...,Nu este un tablou cheie-valoare...
Template file,Fișier șablon
From paths,Din căi
Values array should be provided,Ar trebui furnizat un șir de valori
This plugin is not a multi-tenant plugin! Registry data will be same for all tenants.,Acest modul nu este un modul multi-locatar! Datele din registru vor fi aceleași pentru toți locatarii.
Are you sure you want to cancel changes in plugin registry data?,Sunteți sigur că doriți să anulați modificările în datele registrelor plugin-ului?
Delete record data,Ștergeți datele înregistrării
Add registry value,Adăugați valoarea registru
Save registry data,Salvați datele din registru
Are you sure you want to remove this registry data?,Sunteți sigur că doriți să eliminați aceste date din registru?
Please provide registry keys for all lines.,Vă rugăm să furnizați cheile de registru pentru toate liniile.
There are duplicates in registry keys.,Există duplicări în cheile de registru.
Are you sure you want to save plugin registry data?,Sunteți sigur că doriți să salvați datele registrelor plugin-urilor?
Error saving registry data.,Eroare la salvarea datelor din registru.
User friendly title describing this agent job.,Titlu prietenos pentru descrierea acestui job de agent.
"Only plugins, controllers and actions which support agent scope will be shown.","Vor fi afișate doar modulele, controlerele și acțiunile care suportă domeniul agentului."
Controller,Controler
Action,Acţiune
Handler should be unique as it will identify agent job.,Handler ar trebui să fie unic deoarece va identifica sarcina agentului.
Job parameters,Parametrii locului de muncă
This is a JSON string which will be decoded and passed as parameter to job execute method.,Acesta este un șir JSON care va fi decodat și transmis ca parametru metodei execute a job-ului.
Running interval,Interval de rulare
Once how many seconds should this job run. Minimum interval depends on interval set for _agent.php script to run in crontab.,Odată la câte secunde ar trebui să ruleze această sarcină. Intervalul minim depinde de intervalul setat pentru scriptul _agent.php să ruleze în crontab.
Run asynchronous,Rulare asincronă
This agent job will stop agent from advancing to next job untill it is finished.,Acest job al agentului va opri agentul să avanseze la următorul job până când acesta este finalizat.
Stalling minutes,Minute de întârziere
After how many minutes should this job be considered as stalling.,După câte minute ar trebui să fie considerată această sarcină ca fiind blocată.
minutes,minute
Edit job,Editeaza job
Add job,Adaugă job
Couldn't initialize view.,Nu s-a putut inițializa vizualizarea.
User account,Cont utilizator
All tenants,Toți chiriașii
Short description for this API key,Descriere scurtă pentru această cheie API
Allowed HTTP methods,Metode HTTP permise
Don't tick any method to allow all.,Nu bifați niciun metodă pentru a permite toate.
Denied HTTP methods,Metode HTTP respinse
Tick only methods which you want to deny access to.,Bifați doar metodele la care doriți să le refuzați accesul.
Allow Simulating Web,Permite simularea web
"If ticked, API key will be allowed to access actions which are normally available in web scope (by sending %s=1 in GET).","Dacă este bifată, cheii API i se va permite să acceseze acțiuni care sunt disponibile în mod normal în domeniul web (trimițând %s=1 în GET)."
Allow GraphQL,Permiteți GraphQL
"If ticked, API key can be used when authenticating requests to GraphQL endpoint.","Dacă este bifat, cheia API poate fi folosită la autentificarea cererilor către punctul final GraphQL."
Add API key,Adaugă cheie API
Leave empty to autogenerate.,Lăsaţi gol pentru auto-generare.
Role Units,Unități de rol
Manually added,Adăugat manual
"Slug should be unique. Once role is defined, you cannot change this slug.","Slug-ul ar trebui să fie unic. Odată ce rolul este definit, nu puteți schimba acest slug."
Add role,Adaugă rol
Welcome...,Bine aţi venit...
You are in admin section of %s site.,Ești în secțiunea de administrare a site-ului %s.
Currently logged in %s - %s.,Logat ca %s - %s.
Select a plugin first.,Selectaţi un plugin mai întâi.
Select a model first.,Selectaţi un model mai întâi.
Date field,Câmp dată
Select a table first.,Selectaţi o tabelă mai întâi.
This field will be checked agains interval settings.,Acest câmp va fi verificat împotriva setărilor de interval.
Retention Action,Acțiune de reținere
Retention Interval,Interval de retenție
Interval length,Lungime interval
Add Retention Policy,Adăugați politica de reținere
Plugin to check,Pluginul de verificat
 - All plugins - , - Toate pluginuri - 
Integrity check,Verificare integritate
Checking plugin integrity...,Verificarea integrității plugin-ului...
Checking integrity for plugin %s...,Verificarea integrității pentru modulul %s...
Checking integrity for ALL plugins...,Verificarea integrității pentru TOATE modulele... 
Didn't find a valid value in plugins list to check integrity.,Nu s-a găsit o valoare validă în lista de module pentru a verifica integritatea.
DONE,GATA
Import User Accounts,Importă Conturile de Utilizator
Import file,Fişier de import
This should be a JSON file exported using Export options from accounts management page.,Acesta ar trebui să fie un fișier JSON exportat folosind opțiunile de export de pe pagina de gestionare a conturilor.
Current maximum upload file size %s.,Dimensiune maximă pentru upload de fişier %s.
Import options,Opţiuni de import
"Create non-existing accounts (if email is not found in database, create a new account)","Creează conturi inexistente (dacă adresa de email nu este găsită în baza de date, creează un cont nou)"
Override account level from database with the level found in import file,Suprascrie nivelul contului din baza de date cu nivelul găsit în fișierul de import
Update roles (if account is found). Append roles found in import file.,Actualizați rolurile (dacă contul este găsit). Adăugați rolurile găsite în fișierul de import.
Remove existing roles and use the ones found in import file,Eliminați rolurile existente și utilizați cele găsite în fișierul de import
Update user account details with data from import file,Actualizați detaliile contului utilizatorului cu date din fișierul de import
Import only level,Importă numai nivelul
Import only specific levels from import file.,Importați doar nivelurile specifice din fișierul de import.
Import Accounts,Importă Conturi
Account Details,Detalii cont
ID,ID
Last login,Ultima autentificare
from IP %s,de la IP %s
Selected language,Limbă selectată
Email verified,Email verificat
Password generated,Parolă generată
Locked,Blocat
Multi-tenancy,Multi-locatar
Multi-tenancy enabled,Multi-tenanță activată
Multi-tenant account,Cont multi-locatar
Account tenants,Locatarii contului
Unknown tenant,Chiriaș necunoscut
Edit User Account,Editare Cont
Roles,Roluri
Change roles,Schimbă rolurile
Change tenants,Schimbare chiriași
Complete password fields ony if you want to change password,Completați câmpurile de parolă doar dacă doriți să schimbați parola
confirm,confirmă
Account Roles,Roluri Cont
No role assigned to this account.,Niciun rol asignat acestui cont.
Account Tenants,Locatari de cont
ALL TENANTS,TOȚI CHIRIAȘII
Add User Account,Adăugare Cont Utilizator
User will setup a password at first login.,Utilizatorul va configura o parolă la prima autentificare.
"If password field is left empty, system will generate a password and will send it by email to the provided email.","Dacă câmpul parolei este lăsat gol, sistemul va genera o parolă și o va trimite prin email la adresa de email furnizată."
"If no roles are provided, roles will be set depending on selected level.","Dacă nu sunt furnizate roluri, rolurile vor fi setate în funcție de nivelul selectat."
Create Account,Creează Cont
Retries,Reîncercări
"Fails: %s, Max retries: %s","Eșecuri: %s, Încercări max: %s"
Final,Final
Run after,Rulează după
Id,Id
There are no requests for this HTTP call yet.,Nu sunt cereri făcute pentru această cerere HTTP încă.
View request error,Eroare la cererea de vizualizare
View response body,Vezi conținutul răspunsului
There are %s requests for current HTTP call.,Există %s cereri pentru apelul HTTP curent.
Response Body,Conținut Răspuns
Request Error,Eroare Cerere
Log file not provided or invalid.,Fişierul de log nu este dat sau este invalid.
File name,Nume fişier
File size,Dimensiune fişier
Download file,Ia fişierul
Displaying last %s lines from %s file.,Afişare ultimele %s linii din fişierul %s.
Log file returned empty buffer.,Fişierul de log a returnat un string gol.
Platform Tenants,Locatarii platformei
List Tenants,Listare chiriași
Accounts Management,Management Conturi
Add Account,Adăugă Cont
Manage Accounts,Administrează Conturi
Roles Management,Management Roluri
Manage Roles,Administrează Roluri
Plugins Management,Managementul modulelor
List Plugins,Listă Pluginuri
Tenant Plugin Management,Gestionarea modulului de chiriaș
Plugins Migrations,Migrări ale modulelor
List Migrations,Listare Migrații
List Agent Jobs,Listare Job-uri Agent
API Settings,Setări API
List API Keys,Listează cheile API
API Monitoring Report,Raport de monitorizare a API-urilor
List HTTP Calls,Listează Apelurile HTTP
View Logs,Vezi Loguri
Data Retention,Reținere Date
List Data Retention Policies,Listează Politicile de Retenție a Datelor
Update PHS Structure,Actualizare structură PHS
Import Translations In Platform,Importați traducerile în platformă
Check Translations,Verificați traducerile
Results of translations... Make sure translations are finished before applying result.,Rezultatele traducerilor... Asigurați-vă că traducerile sunt finalizate înainte de aplicarea rezultatului.
Update language files,Actualizare fișiere de limbă
Translation Files Update Result,Rezultatul actualizării fișierelor de traducere
Updated language,Limbaj actualizat
New indexes,Indecși noi
Updated indexes,Indecșii actualizați
Updated files,Fișiere actualizate
Update errors,Erori de actualizare
Updating translations...,Actualizare traduceri...
Error obtaining translations update result. Please try again.,Eroare la obținerea rezultatului actualizării traducerilor. Vă rugăm să încercați din nou.
Checking translations...,Verificarea traducerilor...
Error obtaining translations check result. Please try again.,Eroare la obținerea rezultatului verificării traducerilor. Vă rugăm să încercați din nou.
Translation Results,Rezultatele traducerii
